What's up?	ಆರಾಮಾ?
you? are you?	ಹೇಗಿದ್ದೀರ
Tom up. up.	ಏಳಿದನು. ಏಳಿದನು.
Give me me	ಅರ್ಧ ನನಗೆ ಕೊಡು.
it. needed it.	ಬೇಕಾಗಿತ್ತು. ಬೇಕಾಗಿತ್ತು.
Tom liked you.	ಟಾಮ್ ನಿನ್ನನ್ನು ಬಯಸಿದನು.
Just go inside.	ಒಳಗೆ ಹೋಗು ಅಷ್ಟೇ.
Do you Do	ಇದ್ಯಾ? ನೆನಪು ಇದ್ಯಾ?
I just got back.	ನಾನು ಈಗ ತಾನೇ ವಾಪಸ್ಸು ಬಂದೆ.
See you at you	ಎರಡು ವರೆಗೆ (೨.೩೦ (೨.೩೦ ನಿನ್ನನ್ನು ನೋಡುತ್ತೇನೆ.
we we go inside?	ಹೋಗಬಹುದಾ? ಒಳಗಡೆ ಹೋಗಬಹುದಾ?
I in in you.	ನಾನು ನಿನ್ನ ಮೇಲೆ ನಂಬಿಕೆ ಇಟ್ಟಿದ್ದೇನೆ.
Mary Mary gorgeous.	ಮೇರಿ ಸೌಂದರ್ಯವಾಗಿದ್ದಾಳೆ.
How's your family?	ನಿಮ್ಮ ಮನೇಲಿ ನಿಮ್ಮ
Where is the book?	ಪುಸ್ತಕ ಎಲ್ಲಿದೆ?
Tom stayed with me.	ಟಾಮ್ ನನ್ನ ಜೊತೆ ಉಳಿದುಕೊಂಡನು.
Don't let Tom do Tom	ಟೊಮನ್ನು ಟೊಮನ್ನು ಮಾಡಕ್ಕೆ ಬಿಡಬೇಡಿ.
They're useless useless	ಅವರು ಉಪಯೋಗವಿಲ್ಲ. ಉಪಯೋಗವಿಲ್ಲ.
We're We're on it.	ನಾವು ಮಾಡುತ್ತಾ ಕುರಿತು ಕೆಲಸ ಮಾಡುತ್ತಾ ಇದ್ದೇವೆ.
I traveled traveled myself.	ನಾನು ಒಂಟಿಯಾಗಿ ಪಯಣ ಮಾಡಿದೆ.
Tom is very careless.	ತುಂಬಾನೇ ತುಂಬಾನೇ ಅಸಡ್ಡೆ.
What's going here? here?	ಇಲ್ಲಿ ಏನು ಇಲ್ಲಿ
You have to to Tom.	ನೀವು ಟಾಮಿಗೆ ಹೇಳಲೇಬೇಕು.
You let me down, You	ಮಾಡುತ್ತೀಯ. ನನ್ನನು ನಿರಾಶೆ ಮಾಡುತ್ತೀಯ.
Tom Tom ever hurt you?	ಟಾಮ್ ನಿನ್ನನ್ನು ಯಾವಾಗಲಾದರೂ ನಿನ್ನನ್ನು
Tom gave Tom a huge hug.	ನಾನು ತಬ್ಬಿಕೊಂಡೆ. ಬಿಗಿಯಾಗಿ ತಬ್ಬಿಕೊಂಡೆ.
That's That's Tom needed.	ಬೇಕಾಗಿದ್ದು. ಟಾಮಿಗೆ ಬೇಕಾಗಿದ್ದು.
I must I getting home.	ನಾನು ಮನೆಗೆ ಹೊರಡುತ್ತಾ ಇರಬೇಕು.
I think that went well.	ಚನ್ನಾಗಿ ನಡೆಯಿತು ಅಂತ ಅನಿಸುತ್ತೆ.
guests. greet our guests.	ನಮ್ಮ ಅತಿಥಿಗಳನ್ನು ಅತಿಥಿಗಳನ್ನು
Stupidity is excuse. excuse.	ಮೂರ್ಖತನಕ್ಕೆ ಯಾವ ಕ್ಷಮೆಯು ಯಾವ
You need stay stay awake.	ನೀವು ಎಚ್ಚರವಾಗಿರಬೇಕು.
of a lot of vegetables.	ಬಹಳ ಬಹಳ ತಿನ್ನು.
to had to get some money.	ನಾನು ಸ್ವಲ್ಪ ಬರಬೇಕಾಗಿತ್ತು. ತೆಗೆದುಕೊಂಡು ಬರಬೇಕಾಗಿತ್ತು.
I only wish to wish you.	ನಿಮ್ಮನ್ನು ಸಹಾಯ ಮಾಡುವುದಕ್ಕೆ ಸಹಾಯ
Why are Why thanking me?	ನೀವು ಯಾಕೆ ನನಗೆ ಹೇಳುತ್ತೀರಾ? ಹೇಳುತ್ತೀರಾ?
He swam across the He	ಅವನು ನದಿ ಅಡ್ಡಲಾಗಿ ಅಡ್ಡಲಾಗಿ
How did last go last night?	ಹೇಗೆ ರಾತ್ರಿ ಹೇಗೆ ನಡೆಯಿತು?
I've never been to Paris.	ನಾನು ಪ್ಯಾರಿಸಿಗೆ ಹೋಗಿಲ್ಲ. ಹೋಗಿಲ್ಲ.
had had almost forgotten.	ಮರೆತುಬಿಟ್ಟಿದ್ದನು. ಬಹುಮಟ್ಟಿಗೆ ಮರೆತುಬಿಟ್ಟಿದ್ದನು.
a is a real competitor.	ಟಾಮ್ ಒಬ್ಬ ಟಾಮ್ ಪ್ರತಿಸ್ಪರ್ಧಿ.
Tom is ready for you now.	ಟಾಮ್ ತಯಾರಾಗಿದ್ದಾನೆ. ನಿಮಗೆ ತಯಾರಾಗಿದ್ದಾನೆ.
Tom left three left ago.	ಟಾಮ್ ಮೂರು ಗಂಟೆಯ ಮುಂಚೇನೇ ಹೋದ.
Tom told Mary to home. home.	ಹೇಳಿದನು. ಮೇರಿಗೆ ಮನೆಗೆ ಹೋಗುವುದಕ್ಕೆ ಹೇಳಿದನು.
You are in love You him.	ನೀನು ಅವನನ್ನು ಪ್ರೀತಿಸುತ್ತಿದ್ದೀಯ.
He agrees with my opinion.	ಅವನು ನನ್ನ ಅಭಿಪ್ರಾಯವನ್ನು ನನ್ನ
He every abroad every year.	ಪ್ರತಿವರ್ಷ ಅವನು ವಿದೇಶಕ್ಕೆ ಹೋಗುತ್ತಾನೆ.
How did you scar? that scar?	ಆ ಗಾಯ ಹೇಗೆ ಆ
I've always believed that.	ನಾನು ನಂಬಿದ್ದೇನೆ. ಅದನ್ನೇ ನಂಬಿದ್ದೇನೆ.
Last night, I read a night,	ನೆನ್ನೆ ರಾತ್ರಿ ನಾನು ಒಂದು ಪುಸ್ತಕವನ್ನು ಒಂದು
of of us will have to go.	ನಮ್ಮಲ್ಲಿ ಬೇಕಾಗುತ್ತದೆ. ಹೋಗಲೇ ಬೇಕಾಗುತ್ತದೆ.
The war is still on. on.	ನಡೆಯುತ್ತಿದೆ. ಇನ್ನೂ ನಡೆಯುತ್ತಿದೆ.
Tom doesn't eat much Tom	ಟಾಮ್ ಹೆಚ್ಚು ಮಾಂಸ ಹೆಚ್ಚು
We were a in a storm.	ಬಿರುಗಾಳಿಯಿಂದ ಬಿರುಗಾಳಿಯಿಂದ ಸಿಕ್ಕಿಹಾಕಿಕೊಳ್ಳಿದ್ದೆವಿ.
What team team you play for?	ನೀವು ಯಾವ ಆಡುತ್ತೀರಾ? ಆಟ ಆಡುತ್ತೀರಾ?
You shouldn't be here now.	ನೀವು ಇಲ್ಲಿ ಈಗ ಈಗ
