What's What's	ಆರಾಮಾ?
are are you?	ಹೇಗಿದ್ದೀರ
Tom woke Tom	ಟಾಮ್ ಏಳಿದನು.
Give me me	ಅರ್ಧ ನನಗೆ ಕೊಡು.
We We it.	ನಮಗೆ ನಮಗೆ
Tom liked you.	ಬಯಸಿದನು. ನಿನ್ನನ್ನು ಬಯಸಿದನು.
Just go go	ಒಳಗೆ ಅಷ್ಟೇ. ಅಷ್ಟೇ.
Do you remember?	ನಿಮಗೆ ನೆನಪು ಇದ್ಯಾ?
I just got got	ನಾನು ಈಗ ತಾನೇ ನಾನು ಬಂದೆ.
2:30. you at 2:30.	ಎರಡು ವರೆಗೆ (೨.೩೦ ಗೆ) ನಿನ್ನನ್ನು ಗೆ)
Can we go Can	ನಾವು ಹೋಗಬಹುದಾ? ಹೋಗಬಹುದಾ?
in believe in you.	ನಾನು ನಿನ್ನ ಮೇಲೆ ನಂಬಿಕೆ ಇಟ್ಟಿದ್ದೇನೆ.
Mary gorgeous. gorgeous.	ಸೌಂದರ್ಯವಾಗಿದ್ದಾಳೆ. ಸೌಂದರ್ಯವಾಗಿದ್ದಾಳೆ.
How's family? family?	ನಿಮ್ಮ ಮನೇಲಿ ಹೆಂಗಿದ್ದಾರೆ
Where is the is	ಪುಸ್ತಕ ಎಲ್ಲಿದೆ?
Tom Tom with me.	ಟಾಮ್ ನನ್ನ ಉಳಿದುಕೊಂಡನು. ಉಳಿದುಕೊಂಡನು.
let let Tom do it.	ಟೊಮನ್ನು ಅದನ್ನು ಬಿಡಬೇಡಿ. ಬಿಡಬೇಡಿ.
They're They're now.	ಅವರು ಏನಕ್ಕೂ ಅವರು
it. working on it.	ನಾವು ಅದರ ಕುರಿತು ಕೆಲಸ ಮಾಡುತ್ತಾ ಇದ್ದೇವೆ.
I I by myself.	ನಾನು ಪಯಣ ಪಯಣ ಮಾಡಿದೆ.
Tom is very careless.	ಟಾಮ್ ತುಂಬಾನೇ ಟಾಮ್
What's going here? here?	ಏನು ಏನು ನಡಿತಾಯಿದೆ?
